Drug,Use,category,first trimester ,second trimester,third trimester,breast feeding  (caution concerning the infant to be made),Interaction
Clindamycin,Antibiotics,A,contraindicated,safe but used with caution,safe but used with caution,use with caution,"use with caution in:
.patients with a history of GI disease, particularly colitis.
.patients with moderate to severe liver disease(accumulation rare with q8h dosing.)
. patients with renal impairment
contraindicated in:
.patients with renal impairment
.Hypersensitivity to clindamycin, lincomycin, or any component of the formulation.
contact the physician if one of the following happened : 
Severe diarrhea that doesn’t go away, has blood, or is very watery. This can be caused by an infection called C. difficile and needs urgent medical attention.
Allergic reactions such as swelling of the face, lips, tongue, or throat, trouble breathing, rash, or itching. If any of these happen, call a doctor right away.
Serious skin problems like peeling skin, painful rash, blisters, or red and swollen eyes. These could be signs of rare but dangerous conditions.
Kidney problems, which might cause less urination, swelling in legs or feet, weakness, or unusual tiredness.
Liver problems, with symptoms like yellowing of the skin or eyes (jaundice), dark urine, nausea, or stomach pain.
Low blood cell counts causing symptoms like fever, bruising easily, bleeding, or infections.
Severe drop in blood pressure after rapid IV use, feeling very weak or dizzy.
Painful or swollen joints which might be a sign of inflammation.
Severe reactions at the injection site such as abscesses or intense pain and swelling."
Clarithromycin,Antibiotics,B3,use with caution,use with caution,use with caution,use with caution,"contraindicated in:
.allergy to clarithromycin, erythromycin, or any similar antibiotics.
 liver problems (jaundice or liver damage) caused by clarithromycin before.
 medicines that can interact dangerously, including:Cisapride, ergotamine, dihydroergotamine.Some cholesterol medicines (lovastatin, simvastatin).Lomitapide, lurasidone, pimozide, colchicine (if you have kidney or liver problems)
Severe liver failure with kidney problems.
History of heart rhythm problems (QT prolongation or dangerous arrhythmias).
Low potassium or magnesium levels.
Use with certain other medicines (like astemizole, domperidone, ivabradine, oral midazolam, ranolazine, saquinavir, terfenadine, or ticagrelor).
Use with Caution
Heart disease (CAD): Extra care should be taken if there is coronary artery disease. Some studies have shown a possible higher risk of death more than a year after treatment, though results are mixed.
Muscle weakness (myasthenia gravis): Symptoms may get worse, or new muscle weakness may appear.
Kidney problems: Extra care should be taken if there is severe kidney disease, and the dose may need to be adjusted.
contact your physician if any of these happened: 
Severe diarrhea that is watery, bloody, or lasts a long time should be reported to a doctor immediately.
Serious allergic reactions such as swelling of the face, lips, tongue, or throat, difficulty breathing, or blistering/peeling rash should be treated as emergencies and medical help should be sought.
Symptoms like yellowing of the skin or eyes, dark urine, or pale stools indicating liver problems should be urgently assessed by a healthcare professional.
Severe stomach or back pain that may indicate pancreas inflammation must be reported immediately.
Abnormal heart rhythms, chest pain, fainting, or dizziness should prompt immediate medical attention.
Occurrences of seizures, sudden confusion, hallucinations, or loss of consciousness require urgent evaluation.
Unusual bruising, bleeding, or severe rash should be promptly communicated to a healthcare provider.
Signs of kidney problems such as decreased urination, swelling, or extreme tiredness should be reported without delay.
Joint pain or muscle weakness should be brought to the attention of a doctor.
Severe skin reactions like red or purple rash, blisters, or painful swelling of the eyes are to be reported immediately."
Ciprofloxacin,Antibiotics,B3,contraindicated,contraindicated,contraindicated,use with caution,"contraindications:
Ciprofloxacin should not be taken if an allergy to it, to other similar antibiotics (quinolones), or to any ingredient in the medicine is present.
Ciprofloxacin should not be taken together with tizanidine (a muscle relaxant), since dangerous side effects can be caused.
use with caution:
.Administer all oral ciprofloxacin formulations at least 2 hours before or 6 hours after antacids or other products containing calcium, iron, or zinc.
.does adjustment is required if renal impairement present 
breast feeding stopped during adm. and 48 hours gap after the last dose 
. in patients with syphilis ciprofloxacin may mask its symptombs so must be retested for gonorrheal diagnosis and also three months later 
contact your physician if any of these happened:
Severe chest, stomach, or back pain that doesn’t go away → may signal a serious blood vessel problem (aortic aneurysm/dissection).
Joint or tendon pain, swelling, or sudden rupture (especially in the Achilles tendon). This can happen during treatment or months later.
Nerve or brain problems such as:
  Dizziness, confusion, agitation, restlessness, trouble sleeping
  Seizures
  Hallucinations, strange thoughts, depression, or suicidal thoughts/behaviors
  Sudden severe headache, vision changes, ringing in the ears → may mean increased pressure in the skull
Severe diarrhea (watery or bloody) even weeks to months after stopping the medicine → may indicate a serious bowel infection (C. difficile).
Very low or very high blood sugar → shakiness, sweating, fainting, confusion, or unusual tiredness.
Liver problems → yellow skin/eyes, dark urine, pale stools, or severe stomach pain.
Severe allergic reactions → swelling of face/lips/tongue/throat, trouble breathing, or a blistering/peeling rash.
Severe skin reactions → widespread rash, blisters, purple/red skin, or painful swelling of eyes.
Unusual bruising or bleeding → could be linked to blood cell problems.
Muscle weakness (especially if you have myasthenia gravis) or sudden breathing problems.
Nerve damage → burning, tingling, numbness, or weakness in hands/feet.
Severe sunburn reaction after being in sunlight → may mean sun sensitivity.
Irregular heartbeat, fainting, chest pain, or dizziness → could be a dangerous heart rhythm problem.
Kidney problems → little or no urination, swelling in legs/ankles, or extreme tiredness.
"
Clotrimazole(oral oint),Antifungal ,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindicated in :
.Hypersensitivity to clotrimazole or any component of the formulation
.systemic fungal infection
use with caution:
.patients with preexisting hepatic impairment,Monitor LFTs periodically"
Miconazole(vagina and oral onint),Antifungal,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindicated in :
.Hypersensitivity to miconazole, milk protein concentrate, or any component of the formulation.
.infants <4 months of age
used with caution:
.Although systemic absorption is typically minimal, use with caution in patients with hepatic impairment.(montior periodically)"
Nystatin(oral susp not abs),Antifungal,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindications:
.Hypersensitivity to nystatin or any component of the formulation
contact  your physician if any of the following appears : 
Cardiovascular: Rapid heartbeat (tachycardia).
Dermatologic: Severe skin reactions like acute generalized exanthematous pustulosis, Stevens-Johnson syndrome, skin rash, and urticaria (hives).
Gastrointestinal: Severe diarrhea, including bloody diarrhea, gastrointestinal distress, persistent nausea, oral irritation, and vomiting.
Hypersensitivity: Facial swelling and hypersensitivity reactions including oral sensitization.
Neuromuscular & skeletal: Muscle pain (myalgia).
Respiratory: Bronchospasm (difficulty breathing with wheezing)."
Terbinafine,Antifungal,B1,contraindicated,contraindicated,contraindicated,contraindicated,"contraindication:
.Hypersensitivity to terbinafine or any component of the formulation; chronic or active hepatic disease
.Autoimmune disease (Lupus)
.patients with active or chronic hepatic disease
.patients with renal dysfunction (CrCl ≤50 mL/minute); clearance is reduced by ~50%."
Terbinafine (topical),Antifungal,B2,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindication:
.There are no contraindications listed within the US manufacturer's labeling.
contact your physician if any of side effects appear:
Skin feeling irritated or sensitive
A burning or tingling feeling on the skin
Itching
Dryness of the skin
Peeling or flaking skin
Red and inflamed rash"
Fluconazole (oral),Antifungal,D,contraindicated,contraindicated,contraindicated,contraindicated,Avoid (teratogenic at high doses)
fluconazole (topical),Antifungal,,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindicated in: 
.Hypersensitivity to fluconazole or any component of the formulation."
Acyclovir,Antiviral agents,B3,use with caution ,use with caution,use with caution,safe but used with caution,"contraindicated in: 
.Hypersensitivity to acyclovir, valacyclovir, or any component of the formulation
contact your physician if any of these symptombs appear:
Kidney problems: Signs include less urination, swelling in your legs or feet, feeling very tired or weak, chest pain, trouble breathing, confusion, nausea, or seizures.
Severe allergic reactions: Look out for swelling of the face, lips, mouth, tongue, or throat; difficulty breathing or swallowing; widespread rash, itching, hives, fever, joint pain; dizziness or fainting.
Brain or nerve problems: Feeling restless or agitated, confusion, difficulty speaking, seeing or hearing things that aren’t there (hallucinations), shaking, trouble walking steadily, seizures, or loss of consciousness.
Serious blood problems: Unusual bleeding or bruising, feeling very weak or tired.
Severe skin problems: Peeling, blistering, mouth sores, severe rash.
Blood clotting problems that can affect the brain, heart, kidneys, liver, or pancreas
( its use has dangers but its avoidance if disease presents also has dangers so must be used unde physicans supervision)"
Valacyclovir,Antiviral agents,B3,use with caution ,use with caution,use with caution,safe but used with caution,"contraindicated in: 
.Hypersensitivity to acyclovir, valacyclovir, or any component of the formulation
contact your physician if any of these symptombs appear:
Signs of kidney problems such as:
Decreased urination or no urine
Swelling in feet, ankles, or legs
Feeling very tired or weak
Difficulty breathing or chest pain
Confusion or seizures
Severe allergic reactions including:
Swelling of the face, lips, mouth, tongue, or throat
Trouble swallowing or breathing
Rash, itching, or hives
Fever, joint pain, or stomach cramps
Dizziness or fainting
Brain or nerve problems such as:
Feeling restless, agitated, or confused
Seeing or hearing things that are not there (hallucinations)
Difficulty speaking or walking steadily
Seizures or sudden mental changes
Serious blood conditions like low blood cell or platelet counts (which may cause unusual bleeding or bruising).
Rare but serious clotting problems affecting organs like kidneys, brain, or heart.
( its use has dangers but its avoidance if disease presents also has dangers so must be used unde physicans supervision)"
Oseltamivir,Antiviral agents,B1,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindicated in :
.Hypersensitivity to oseltamivir or any component of the formulation
use with caution :
.dosage adjustment is required for patients with renal impairment.
.patients with severe hepatic impairment
contact your physician if any of the following appear:
Severe allergic reactions like swelling of the face, lips, tongue, or throat, or trouble breathing.
Serious skin problems such as blistering, peeling skin, painful red or purple skin, or a rash with blisters.
Confusion, seeing or hearing things that aren’t real, strange behavior, or agitation, especially in children and teens.
Seizures or convulsions.
Severe stomach pain or cramps, especially with bloating or tenderness.
Bleeding in the stomach or intestines, which may cause bloody diarrhea.
Swelling of the face or other parts of the body.
Fast, slow, or irregular heartbeat.
Hoarseness or trouble swallowing.
Shortness of breath or wheezing.
Dark urine or yellowing of the skin or eyes.
Muscle or joint pain.
Loss of consciousness or fainting.
Red, irritated eyes or sudden vision changes."
Raltegravir,Antiviral agents,A,safe but used with caution,safe but used with caution,safe but used with caution,contraindicated,"Preferred HIV medication over lamivudine 
contraindication:
Hypersensitivity to raltegravir or any other component of the formulation
use with caution:
history of muscle problems or are taking other medicines that can affect your muscles
contact your physician if any of the following appear : 
Severe skin problems like a widespread rash, peeling, or blisters.
Signs of liver trouble such as yellowing of the skin or eyes, stomach pain, or unusual tiredness.
Low white blood cells or anemia, which can make you feel very weak or increase your chance of infections.
Severe allergic reactions causing swelling, rash, or difficulty breathing.
New or worsening diabetes or high blood sugar.
Serious infections like shingles (painful rash with blisters).
Mental health problems such as feeling very anxious, having strange thoughts, or thoughts about harming yourself.
Muscle weakness or severe muscle pain.
Kidney problems like pain during urination, kidney stones, or decreased kidney function.
Inflammatory reactions when your immune system starts to improve.
Blood problems that can cause bleeding or bruising easily.
Unusual growths or tumors."
Lamivudine,Antiviral agents,B3,use with caution ,use with caution,use with caution,contraindicated,"contraindicated in:
.Hypersensitivity to lamivudine or any component of the formulation
use with caution in :
Kidney impairment; dosage reduction recommended.
if patient is coinfected with hep B the dose of lamivudine should be increased
caution for HIV not to be used in hepatitis B
contact your physician if any of this appears :
Severe skin problems like a widespread rash, skin peeling, severe itching, or blistering.
Signs of liver trouble such as yellowing of the skin or eyes, stomach swelling or pain, or unusual tiredness.
Severe allergic reactions with swelling of the face, lips, or throat, or difficulty breathing.
Blood problems that can make you feel very tired or weak because your body is not making enough red blood cells. (anemia or decreased white blood cells )
A rare but serious condition where too much acid builds up in your blood.
Inflammatory reactions that can happen when your immune system starts working again.
Muscle problems including severe cramps, muscle weakness, or breakdown of muscle tissue.
Nerve problems like numbness, tingling, or muscle weakness."
Zidovudine,Antiviral agents,B3,"use with caution
",use with caution,use with caution,contraindicated,"contraindicated:
.Potentially life-threatening hypersensitivity to zidovudine or any component of the formulation
.Neutrophil count <750/mm3 or hemoglobin <7.5 g/dL (4.65 mmol/L)
use with caution:
.Hepatic impairment: Hematologic toxicity may be increased due to increased serum concentrations in patients with hepatic impairment.
.Renal impairment: Use with caution in patients with CrCl <15 mL/minute; dosage adjustment recommended.
use with caution for HIV
seek the physician if any of this occures:
Severe allergic reactions, such as swelling of your face, lips, or throat, and difficulty breathing.
Serious skin problems like widespread rash, peeling skin, or severe itching.
Signs of liver trouble like yellow skin or eyes, swelling or pain in your stomach area, or very dark urine.
Serious blood problems that can make you feel very weak, bruise easily, or get infections more easily.(low white blood cells or anemia)
Heart problems such as chest pain, feeling faint or dizzy, or swelling in your heart.
Muscle problems including severe muscle pain, weakness, or breakdown.
Severe nervous system symptoms like seizures, confusion, depression, extreme dizziness, or mood changes.
Vision changes, eye pain, or sensitivity to light.
Hearing loss or ringing in the ears.
Trouble breathing or flu-like symptoms that don’t go away.
Pain or severe irritation where your medicine is injected."
Efavirenz,Antiviral agents,D,use with caution,use with caution,use with caution,contraindicated,"contraindicated:
.Hypersensitivity (e.g., Stevens–Johnson syndrome, erythema multiforme, severe skin reactions).
.Concomitant use with elbasvir or grazoprevir.
.Concurrent use with:Cisapride (not available in Canada),Ergot derivatives (dihydroergotamine, ergonovine, ergotamine),Midazolam,Pimozide,St. John’s wort,Triazolam,Voriconazole
use with caution:
.Hepatic impairment:Not recommended in moderate to severe impairment (Child-Pugh B or C),Use with caution in mild impairment (Child-Pugh A) or hepatitis  B/C infection,Monitoring is required.
.Seizure disorder:Use with caution in patients with seizure history,Seizures have been reported with efavirenz use
.HIV-associated dementia:Avoid efavirenz-based regimens if possible,Efavirenz’s neuropsychiatric side effects may hinder evaluation of dementia symptom improvement.
contact the physician if any of this happened :
Severe skin rash, peeling, or swelling.
Signs of liver problems like yellowing of the skin or eyes, dark urine, severe stomach pain, or extreme tiredness.
Feeling very sad, having thoughts of hurting yourself, seeing or hearing things that aren’t real, or other serious mood or behavior changes.
Heart rhythm problems that may feel like a fast, slow, or irregular heartbeat.
Seizures, severe dizziness, loss of balance, or confusion.
Allergic reactions like swelling of the face, difficulty breathing, or severe rash.
Severe belly pain or symptoms of pancreas problems.
Extreme tiredness, weakness, or muscle pain.
Low white blood cells, which can make you more likely to get infections.
Trouble breathing or feeling short of breath.
Sudden changes in behavior like being very angry or overly excited.
Changes in vision or ringing in ears.
"
Methyldopa,Antihypertensives,A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindicated in: 
.Hypersensitivity to methyldopa or formulation components.
.Active hepatic disease (eg, acute hepatitis, active cirrhosis).
.Hepatic disorders previously linked to methyldopa use.
.Concurrent use with MAO inhibitors.
.Pheochromocytoma
used with caution in:
. cases of involuntary choreoathetotic movements reported in severe bilateral disease,Discontinue if symptoms occur.(rare)
.Use with caution in patients with renal impairment; may respond to smaller doses
seek the physiscian if any of this happens  :
Very slow or irregular heartbeat, chest pain, or swelling around the heart.
New or worsening heart problems like heart failure or fainting spells.
Signs of liver problems such as yellowing of the skin or eyes, dark urine, severe stomach pain, or unusual tiredness.
Severe skin reactions like widespread rash, peeling, or extreme itching.
Problems with blood like unusual bruising or bleeding, feeling tired or weak, or infections.
Severe nervous system symptoms such as sudden weakness, difficulty moving, confusion, severe mood changes, or hallucinations.
Symptoms of an autoimmune condition, like joint pain or swelling.
Serious allergic reactions with fever or rash."
